"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jan 20 16:44:32 MSK 2022","Thu Jan 20 16:44:37 MSK 2022","4278","tests","test_add_remove_contact_to_from_group","","","","test_delete_contact_from_group",""
"failed","Thu Jan 20 16:44:37 MSK 2022","Thu Jan 20 16:44:37 MSK 2022","195","tests","test_contacts_home_page_vs_edit_vs_db","","","","test_contacts_info_ui_vs_db",""
"passed","Thu Jan 20 16:44:38 MSK 2022","Thu Jan 20 16:44:39 MSK 2022","822","tests","test_contacts_home_page_vs_edit_vs_db","","","","test_phones_on_contact_view_page",""
"passed","Thu Jan 20 16:45:11 MSK 2022","Thu Jan 20 16:45:12 MSK 2022","467","tests","test_del_group","","","","test_delete_some_group",""
"passed","Thu Jan 20 16:45:12 MSK 2022","Thu Jan 20 16:45:19 MSK 2022","7848","tests","test_modify_contact","","","","test_amend_first_contact_firstname[None, firstnameyuTX6X6R63, lastnameoHdT7V k 60, addresssHv ksSYBRmHrl3sDPA83f0jEM4c9 vKn, None, None]",""
"passed","Thu Jan 20 16:44:56 MSK 2022","Thu Jan 20 16:44:59 MSK 2022","3128","tests","test_create_group","","","","test_add_group[None:;;]",""
"passed","Thu Jan 20 16:44:59 MSK 2022","Thu Jan 20 16:45:02 MSK 2022","3060","tests","test_create_group","","","","test_add_group[None:nameza R;headerY;footerw5]",""
"failed","Thu Jan 20 16:44:38 MSK 2022","Thu Jan 20 16:44:38 MSK 2022","486","tests","test_contacts_home_page_vs_edit_vs_db","","","","test_phones_on_home_page",""
"passed","Thu Jan 20 16:45:39 MSK 2022","Thu Jan 20 16:45:42 MSK 2022","3235","tests","test_modify_group","","","","test_modify_group_name[None:nameEMfTpwoWR;header uF8C;footertG4igrHWQRdgaYT2]",""
"passed","Thu Jan 20 16:45:06 MSK 2022","Thu Jan 20 16:45:09 MSK 2022","3036","tests","test_create_group","","","","test_add_group[None:nameEMfTpwoWR;header uF8C;footertG4igrHWQRdgaYT2]",""
"passed","Thu Jan 20 16:44:37 MSK 2022","Thu Jan 20 16:44:38 MSK 2022","394","tests","test_contacts_home_page_vs_edit_vs_db","","","","test_contact_info_on_home_page",""
"passed","Thu Jan 20 16:45:20 MSK 2022","Thu Jan 20 16:45:29 MSK 2022","8789","tests","test_modify_contact","","","","test_amend_first_contact_firstname[None, firstname, lastnamehV, addresseAYOqygOB6X4X qJ2d NTiBpAEBoqkjgXFys3, None, None]",""
"passed","Thu Jan 20 16:45:29 MSK 2022","Thu Jan 20 16:45:32 MSK 2022","3375","tests","test_modify_group","","","","test_modify_group_name[None:;;]",""
"passed","Thu Jan 20 16:44:39 MSK 2022","Thu Jan 20 16:44:47 MSK 2022","8381","tests","test_create_contact_without_group_relation","","","","test_create_contact_without_group_relation[None, firstnameyuTX6X6R63, lastnameoHdT7V k 60, addresssHv ksSYBRmHrl3sDPA83f0jEM4c9 vKn, None, None]",""
"passed","Thu Jan 20 16:44:31 MSK 2022","Thu Jan 20 16:44:32 MSK 2022","863","tests","test_add_remove_contact_to_from_group","","","","test_add_contact_to_group",""
"passed","Thu Jan 20 16:45:03 MSK 2022","Thu Jan 20 16:45:06 MSK 2022","3035","tests","test_create_group","","","","test_add_group[None:name d;headerCn o CQj;footeraOk3oyQzz8NCY]",""
"passed","Thu Jan 20 16:45:09 MSK 2022","Thu Jan 20 16:45:10 MSK 2022","1116","tests","test_db_matches_ui","","","","test_group_list",""
"passed","Thu Jan 20 16:45:36 MSK 2022","Thu Jan 20 16:45:39 MSK 2022","3218","tests","test_modify_group","","","","test_modify_group_name[None:name d;headerCn o CQj;footeraOk3oyQzz8NCY]",""
"passed","Thu Jan 20 16:44:48 MSK 2022","Thu Jan 20 16:44:56 MSK 2022","8464","tests","test_create_contact_without_group_relation","","","","test_create_contact_without_group_relation[None, firstname, lastnamehV, addresseAYOqygOB6X4X qJ2d NTiBpAEBoqkjgXFys3, None, None]",""
"passed","Thu Jan 20 16:45:10 MSK 2022","Thu Jan 20 16:45:11 MSK 2022","1111","tests","test_del_contact","","","","test_delete_some_contact",""
"passed","Thu Jan 20 16:45:32 MSK 2022","Thu Jan 20 16:45:36 MSK 2022","3318","tests","test_modify_group","","","","test_modify_group_name[None:nameza R;headerY;footerw5]",""
